รายการบัญชี - Seller Balance,,,สรุป,,,,,ยอดคงเหลือ,
หน่วยเงิน:,THB,,เงินเข้า,,เงินออก,,,ยอดตั้งต้น,89163.0
วันที่:,2023-02-27-2023-03-29,,จำนวนการทำรายการ:,311,จำนวนการทำรายการ:,5,,ยอดคงเหลือสุทธิ,17170.0
,,,ยอดรวม:,701405.0,ยอดรวม:,773398.0


วันที่,ผู้นำจ่าย,จำนวนเงิน,รายการ,สถานะ,ยอดคงเหลือ
2023-03-15 23:44,Seller Balance,2050.0,เงินโอนจากคำสั่งซื้อ #230313BN8H94GR,,20727.0
2023-03-15 23:29,Seller Balance,1386.0,เงินโอนจากคำสั่งซื้อ #230313BRFDC1WS,,18677.0
2023-03-15 23:11,Seller Balance,6816.0,เงินโอนจากคำสั่งซื้อ #230313BHWT4VPP,,17291.0
2023-03-15 23:09,Seller Balance,3311.0,เงินโอนจากคำสั่งซื้อ #2303129N47D58N,,10475.0
2023-03-15 21:35,Seller Balance,279.0,เงินโอนจากคำสั่งซื้อ #230304J2FTV2NU,,7164.0
2023-03-15 17:55,Seller Balance,1711.0,เงินโอนจากคำสั่งซื้อ #230304J0C5195R,,6885.0
2023-03-15 17:42,Seller Balance,1043.0,เงินโอนจากคำสั่งซื้อ #230314DBNJV7UV,,5174.0
2023-03-15 17:18,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #2303128JA55WXU,,4131.0
2023-03-15 13:41,Seller Balance,1032.0,เงินโอนจากคำสั่งซื้อ #230307S5KS9FYT,,3540.0
2023-03-15 13:41,Seller Balance,2508.0,เงินโอนจากคำสั่งซื้อ #230307RTU17PCY,,2508.0
2023-03-15 07:31,ธนาคาร,-194139.0,การถอนเงินอัตโนมัติ,ทำรายการสำเร็จ,0.0
2023-03-15 03:10,Seller Balance,2164.0,เงินโอนจากคำสั่งซื้อ #230303F4QWXSY8,,194139.0
2023-03-15 03:04,Seller Balance,1017.0,เงินโอนจากคำสั่งซื้อ #230304HAFMW2BJ,,191975.0
2023-03-15 02:38,Seller Balance,3747.0,เงินโอนจากคำสั่งซื้อ #230302CGN9C18P,,190958.0
2023-03-14 15:42,Seller Balance,3310.0,เงินโอนจากคำสั่งซื้อ #2303091TG19SPU,,187211.0
2023-03-14 12:43,Seller Balance,2271.0,เงินโอนจากคำสั่งซื้อ #230305N1SAJK57,,183901.0
2023-03-14 10:05,Seller Balance,2594.0,เงินโอนจากคำสั่งซื้อ #230306QCTNW52B,,181630.0
2023-03-14 09:24,Seller Balance,8638.0,เงินโอนจากคำสั่งซื้อ #2303091ETY61D6,,179036.0
2023-03-14 09:11,Seller Balance,1121.0,เงินโอนจากคำสั่งซื้อ #23030917PGAQHE,,170398.0
2023-03-14 05:32,Seller Balance,715.0,เงินโอนจากคำสั่งซื้อ #230303FWGC65JT,,169277.0
2023-03-14 05:16,Seller Balance,13022.0,เงินโอนจากคำสั่งซื้อ #230303FA2MKU2F,,168562.0
2023-03-14 03:57,Seller Balance,13005.0,เงินโอนจากคำสั่งซื้อ #230303G697N8XD,,155540.0
2023-03-14 03:54,Seller Balance,1545.0,เงินโอนจากคำสั่งซื้อ #230303EFGAD8B8,,142535.0
2023-03-14 03:17,Seller Balance,278.0,เงินโอนจากคำสั่งซื้อ #230304HC484MJT,,140990.0
2023-03-14 01:46,Seller Balance,3679.0,เงินโอนจากคำสั่งซื้อ #230303ES2EHXTN,,140712.0
2023-03-14 01:36,Seller Balance,1434.0,เงินโอนจากคำสั่งซื้อ #230304G92PJ4HQ,,137033.0
2023-03-14 01:11,Seller Balance,718.0,เงินโอนจากคำสั่งซื้อ #230303F0YBEKCE,,135599.0
2023-03-13 23:09,Seller Balance,1779.0,เงินโอนจากคำสั่งซื้อ #230308V0W92NUF,,134881.0
2023-03-13 17:07,Seller Balance,5540.0,เงินโอนจากคำสั่งซื้อ #230308URE0QFVE,,133102.0
2023-03-13 11:49,Seller Balance,501.0,เงินโอนจากคำสั่งซื้อ #2303103HEB4N7M,,127562.0
2023-03-13 09:44,Seller Balance,1561.0,เงินโอนจากคำสั่งซื้อ #2303104JQEFVV8,,127061.0
2023-03-13 05:13,Seller Balance,603.0,เงินโอนจากคำสั่งซื้อ #230302CRK7NWKE,,125500.0
2023-03-13 03:09,Seller Balance,3489.0,เงินโอนจากคำสั่งซื้อ #230303DU49WHCH,,124897.0
2023-03-13 02:57,Seller Balance,1654.0,เงินโอนจากคำสั่งซื้อ #230303DXA1SWJE,,121408.0
2023-03-12 20:25,Seller Balance,852.0,เงินโอนจากคำสั่งซื้อ #230303FM6XH9TH,,119754.0
2023-03-12 13:20,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #2303103S3NQMSH,,118902.0
2023-03-12 09:55,Seller Balance,471.0,เงินโอนจากคำสั่งซื้อ #23030910PJBYFW,,118311.0
2023-03-12 05:48,Seller Balance,13011.0,เงินโอนจากคำสั่งซื้อ #230303F1B1999Q,,117840.0
2023-03-12 04:00,Seller Balance,14122.0,เงินโอนจากคำสั่งซื้อ #230303ETCPVA17,,104829.0
2023-03-12 03:37,Seller Balance,1399.0,เงินโอนจากคำสั่งซื้อ #2302287BBB7J6E,,90707.0
2023-03-12 01:41,Seller Balance,2233.0,เงินโอนจากคำสั่งซื้อ #230303DU02H493,,89308.0
2023-03-12 01:28,Seller Balance,13666.0,เงินโอนจากคำสั่งซื้อ #230303F3RY529E,,87075.0
2023-03-11 23:12,Seller Balance,1209.0,เงินโอนจากคำสั่งซื้อ #2303091RQK253X,,73409.0
2023-03-11 23:10,Seller Balance,1385.0,เงินโอนจากคำสั่งซื้อ #2303091M1BHC83,,72200.0
2023-03-11 22:59,Seller Balance,1711.0,เงินโอนจากคำสั่งซื้อ #230308U66A1WNE,,70815.0
2023-03-11 22:35,Seller Balance,3501.0,เงินโอนจากคำสั่งซื้อ #230305MDGG6A0M,,69104.0
2023-03-11 19:42,Seller Balance,1779.0,เงินโอนจากคำสั่งซื้อ #230305N1V66CV3,,65603.0
2023-03-11 19:16,Seller Balance,593.0,เงินโอนจากคำสั่งซื้อ #230303FAHGHRB2,,63824.0
2023-03-11 07:13,Seller Balance,592.0,เงินโอนจากคำสั่งซื้อ #2303090Y4TRXNQ,,63231.0
2023-03-11 05:12,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #23022886C7VNUK,,62639.0
2023-03-11 02:24,Seller Balance,1541.0,เงินโอนจากคำสั่งซื้อ #2302288NQ5S051,,62048.0
